message_id,response_id,article_id,empathy,distress,empathy_bin,distress_bin,essay
R_2Y3T8M1nbUNrgGx_3,R_2Y3T8M1nbUNrgGx,186,7.000,7.000,1,1,It's shocking how little people care about this and how little Africa gets mentioned in the news. This is horrific when you think about the number of victims and the people who are harmed. I wish people could focus on this. It's ridiculous that people are getting away with this and it is a huge crisis on the level of other genocides in history.
R_2Y3T8M1nbUNrgGx_4,R_2Y3T8M1nbUNrgGx,298,2.500,3.000,0,0,I hope everyone is ok. I was in a small earthquake and it was extremely scary. A lot of people can die if you don't have safe buildings. I think there should be a major international effort to provide guidance for any nations in an earthquake prone region so that we can do a little bit to prevent more deaths when the earthquakes inevitably hit.
R_2Y3T8M1nbUNrgGx_5,R_2Y3T8M1nbUNrgGx,338,1.000,1.000,0,0,"This doesn't sound too worrisome to me. If you are affected by depression, then you should decide as an individual to find another option. It's just a side effect, I think there are many medicines out there that have depression as a side effect. It is something that individuals should be aware of, but nothing critical."
R_2xy5n7vmxTj4FY6_1,R_2xy5n7vmxTj4FY6,77,4.000,5.500,1,1,"Here's an article about crazed person who murdered two unfortunate women overseas. Life is crazy. I can't imagine what the families are going through. Having to go to or being forced into sex work is bad enough, but for it to end like this is just sad. It feels like there's no place safe in this world to be a woman sometimes. "
R_2xy5n7vmxTj4FY6_2,R_2xy5n7vmxTj4FY6,151,1.000,5.500,0,1,"Some people are just disturbed. Everyone is going to point to mental illness in something like this, but I fear that when things like this happens, it gets easier and easier just to point at people and call them mentally ill. I fear that eventually we are going to get to the point where you can classify someone as mentally ill by the crowd. Just finger pointing. I feel for these victims and the victims of crimes in the future because we spend too much time making excuses and pointing fingers rather than dealing with the problems at hand."
R_2xy5n7vmxTj4FY6_3,R_2xy5n7vmxTj4FY6,174,5.000,7.000,1,1,"Every time I hear something about ISIS, I can't help but think about the role the US played in its creation and the horrors that have come from the vacuum of power in the region. I'm thankful to be American when I read something like this, but also ashamed at the same time in who we've chosen to represent us, not just now, but over the past 30 years. "
R_2xy5n7vmxTj4FY6_4,R_2xy5n7vmxTj4FY6,327,4.000,5.000,1,1,"You know I'm not a fan of religion in any context, but this type of thing happens everywhere. There's always some idiot who goes off and uses religion, bigotry, sex, gender, anything really as an explanation. It's sad that you read something like this and it doesn't even feel like news. Perhaps its just our access that's making this seem ordinary. "
R_2xy5n7vmxTj4FY6_5,R_2xy5n7vmxTj4FY6,337,6.000,4.625,1,1,Reading stuff like this puts the refugee in perspective. There has to be something the international community can do that isn't taking in refugees permanently. The vast majority of these people just want to live and build something for themselves. It is of no fault of their own that they were unfortunate enough to be born within the fist of a crazed dictator. 
R_2WOvnpyfACBvT3K_1,R_2WOvnpyfACBvT3K,61,3.833,3.750,0,0,"Hello, I thought this behavior was a thing of the past, but read this article, it is rather enlightening. I often think here in the US there is a great divide on how racial issues are dealt with, and the US is not the only one. There are many racial problems in other countries and that makes me feel hopeless for the future. If we can't fix the issues here in America, how can we critizice other countries?"
R_2WOvnpyfACBvT3K_2,R_2WOvnpyfACBvT3K,104,4.667,5.375,1,1,"The fact that human beings are abusing the planet and each other is evident in this article. It is enough to get you depressed, read this so you can get an idea of how pollution affects third wolrd countries. Instead of going after industries (probably all American) with fines, they rather close schools because of the pollution and smog. Their health is being affected and not only that, the enviroment is being completely abused."
R_2WOvnpyfACBvT3K_3,R_2WOvnpyfACBvT3K,245,5.667,3.750,1,0,"How sad, if you get a chance read this and maybe share, it could be the difference for this person to find her family! Sometimes I see these announcements and I usually read and share them, I hope they find who she is and most importanly I hope they find her family and get her some help. I think the more people see, read and share this info, the bigger the chance to find her identity and family, imagine if it was someone you knew."
R_2WOvnpyfACBvT3K_4,R_2WOvnpyfACBvT3K,269,2.500,3.000,0,0,"I know this article is super wordy, but it is an interesting read, if you have a chance ad you are bored, make sure you read it. It is about how Democrats will move forward in the next few years to get legoslation moving. It has been hard with Trump in the White House for the whole country, but imagine being a democrat right now trying to push legislation that your constituents are asking about? What a time to be alive! We should all just try to make the country a lot better right now!"
R_2WOvnpyfACBvT3K_5,R_2WOvnpyfACBvT3K,362,4.000,3.875,1,0,"Reading about issues happening across the world seems foreign, but just think: any trouble anywhere in the world, the US is usually involved. I think any conflict and abuses of power in any nation in the world, especially in the middle east, can spell disaster for the people in the US. We can't really ignore issues that happen far away because ultimately as a nation, we will have to face the consequences, either by sending our troops or  any other effects."
R_QhPhN7wI0VGZAGd_1,R_QhPhN7wI0VGZAGd,33,1.000,4.500,0,1,"How disgusting is Wells Fargo? It's unbelievable the way they treated their tellers, and all those fake accounts? Can you even? I don't understand how this bank doesn't get shut down. You really should think about getting an account with a different bank, you know. What if your SS got used to make some of those accounts?"
R_QhPhN7wI0VGZAGd_2,R_QhPhN7wI0VGZAGd,143,2.000,3.875,0,0,"Oh, but global warming isn't real, right? We have all kinds of time to fix the problem, right? It's not humans, it's natural variation, right? Holy crap are we ever ostriches as a species - are we going to dig our heads out of the sand in time? Change has to happen, and it has to happen now, we can't wait for all the old white men who run things to die"
R_QhPhN7wI0VGZAGd_3,R_QhPhN7wI0VGZAGd,193,2.333,3.375,0,0,"That's incredibly disgusting. I feel like it should count as a hate crime, and everyone on that boat who had anything to do with that incident should be brought before a judge and made to answer for their involvement. I really hope the LGBT community organizes some kind of boycott; Royal Caribbean should be made to feel financial pain for their negligence"
R_QhPhN7wI0VGZAGd_4,R_QhPhN7wI0VGZAGd,300,1.000,1.000,0,0,"You know how you were having trouble sleeping? Here, read about people who have tinnitus - it'll put you to sleep. I feel like more should be done to help the seven percent who say their tinnitus is a big problem for them, though. That's the same as any other psychiatric complaint, right? If it's affecting your life so that you can't function normally, there should be some kind of help for you"
R_QhPhN7wI0VGZAGd_5,R_QhPhN7wI0VGZAGd,408,1.000,1.375,0,0,"This is terrible, but what I find hard to believe is that there are still that many Yahoo accounts in the world that aren't spambots. Or some other kind of bots. Anyway, aren't you glad I got you on gmail? I'm glad I shut my yahoo account down a long time ago. You should probably do that, if you haven't, just for safety's sake."
R_3Gm64BvSHkOeisK_1,R_3Gm64BvSHkOeisK,54,1.167,1.000,0,0,"I just read an article about America's refugee problem, that talked about the Somali community in Minneapolis. I can't believe the emotional language they tried to use in the article; it just makes me sick to see any reporting that doesn't only concern the facts, with no editorializing by the author. I wish that everyone who decided to become a writer would learn that there is no place for opinion in the news."
R_3Gm64BvSHkOeisK_2,R_3Gm64BvSHkOeisK,106,1.000,1.250,0,0,"I just read an article about some chowder-head who used a hammer and a pick ax to destroy Donald Trump's star on the Hollywood walk of fame. Wow, what a great protest. You sure showed him. Good job.

Lol, can you believe this garbage? Who has such a hollow and pathetic life that they don't have anything better to do with their time than commit petty vandalism because they dislike some politician? What a dingus."
R_3Gm64BvSHkOeisK_3,R_3Gm64BvSHkOeisK,190,1.000,1.000,0,0,"So, I had to read an article about somebody named Kylie Jenner, and evidently she has some sort of makeup line or something. Anyway, evidently she must be popular for some reason, because people are making counterfeit cosmetics and selling them as her brand. She put out some message about how you should only buy direct from her website. I guess a sucker is born every minute."
R_3Gm64BvSHkOeisK_4,R_3Gm64BvSHkOeisK,333,1.000,1.000,0,0,"I read an article about Typhoon Meranti. The article said the storm passed by Taiwan without actually hitting the island, which I suppose was a good thing, because evidently there was another storm in 2009, Typhone Morakot, that killed a bunch of people and did billions of dollars of damage. I'm glad I don't live somewhere where there's any inclement weather like that, it must be miserable to live on an island where it's hot and crowded."
R_3Gm64BvSHkOeisK_5,R_3Gm64BvSHkOeisK,378,1.000,1.125,0,0,"I read about this asshole Arcan Cetin who shot up a mall in Oak Harbor, Washington. Evidently before he did the shooting he had been placed under a no firearm order because he had been charged with domestic assault. I guess it just goes to show that gun laws are a pointless joke; if this guy had been a decent law abiding person no gun law would be needed, but because it was a criminal and a murderer the law didn't do anything to stop him from shooting up a mall."
R_3nHIf1uTyHztQY7_1,R_3nHIf1uTyHztQY7,39,6.167,5.125,1,1,"I just read about a young male wolf that was shot dead after walking 700 miles in search of a mate. That seems pretty awful. I am thinking about all of the different paths that wolf walked along on his journey, only to see it end in disaster. Apparently it was a government sniper that killed him. I'm not sure why the government has snipers to kill wolves. If they are posing a direct threat, then of course animals must be killed, but I don't see that this wolf was threatening anyway. It seems dishonorable."
R_3nHIf1uTyHztQY7_2,R_3nHIf1uTyHztQY7,147,5.000,5.625,1,1,"I had heard about the huge fires burning in the Indonesia area and the haze clouds they are producing but I didn't realize it was so bad. Apparently there is a statistical study that says 100,000 people have been killed by this. The researchers tried to count ""early deaths"" and got that figure. I suspect the root problem is corruption. Some of the business owners in Indonesia and Malaysia are extremely rich and can act with impunity, even though their actions cause great harm to the environment and to humans near and far. Maybe they should be charged with crimes for the deaths. On the other hand I dislike the idea of people being convicted of crimes via statistical analysis. It is too easy to manipulate."
R_3nHIf1uTyHztQY7_3,R_3nHIf1uTyHztQY7,180,4.833,5.625,1,1,"Apparently another Christian was murdered in a Muslim land, and the excuse was that he blasphemed, when he had really just shared an anti-ISIS cartoon. It is no wonder that religious minorities in Syria supported Assad. At least he protects them. He probably has committed atrocities, but it seems every side has committed atrocities there.  This murder was in Jordan, and even though the Jordanian royals come off as urbane Westerners, there is obviously an undercurrent of extreme Islamism in some of the population. Christians are murdered all the time around the world, but this rarely gets attention in the US media, which is completely corrupt."
R_3nHIf1uTyHztQY7_4,R_3nHIf1uTyHztQY7,258,4.500,5.625,1,1,"The whole ""police violence against blacks"" theme has been overplayed to manipulate people. The fact is that there really is a problem of police feeling justified in shooting people whenever they feel threatened, but this doesn't just happen to blacks. I can think of four cases off the top of my head where innocent unarmed white men were killed by police. One of them was the recent case where the guy who died was the victim of ""swatting"". He wasn't involved in an crime at all, but the police burst into his house with guns blazing and he died. And the cop won't be prosecuted. I hope that blacks who care about this issue will realize they are being manipulated and will join forces with others who don't want to live in a police state."
R_3nHIf1uTyHztQY7_5,R_3nHIf1uTyHztQY7,396,4.333,4.875,1,1,"Apparently there are now a lot of wildfires in the Appalachia area, and it seems people are going to try to spin this into a ""climate change"" story. It seems that every single negative event can be attributed to climate change. The media doesn't even try to make an argument, it just inserts insinuations. I used to believe that global warming was a deadly threat to humanity, but if you look into things, there are many extremely dubious elements to the ""official"" story, and now I don't know what to think.  Even if the official story is true, it is obvious that the issue is being routinely used for political purposes. And I don't know if it is true. Why has a vast swath of temperature readings been ""corrected""? Most people don't even know about this issue."
R_TpgBfMSeqQUvqH7_1,R_TpgBfMSeqQUvqH7,50,1.667,1.875,0,0,"Funny how it always comes down the to the gun and not the person wielding it. People will always be able to get guns, legally or not. the issue is more with society treatment of young men. Too many single moms, too many kids being ostracized and bullied. But yeah, that's the gun's fault. i don't own a gun, but I'd be damned if I gave one up to those liberal fascists."
R_TpgBfMSeqQUvqH7_2,R_TpgBfMSeqQUvqH7,124,1.000,2.250,0,0,"This is what happens when you take in people from an archaic civilization.  All of these refugees need to be throw back into their mud pit. Their religion embraces hatred. Let them figure out how to live in peace in their own countries, then we can allow them into civilized world. Is it is now, I think all of Europe is doomed."
R_TpgBfMSeqQUvqH7_3,R_TpgBfMSeqQUvqH7,252,1.667,1.250,0,0,"This seems like a conspiracy reach, but the medical exams were either lying or the bodies were really never examined. The Poles have a reason to distrust Russia- Russia does itself no favors, no country in the World should trust them-, they have a long history of conflict. The reason we had Polish jokes in America a few decades ago started with Russian racism towards Poles."
R_TpgBfMSeqQUvqH7_4,R_TpgBfMSeqQUvqH7,293,1.000,1.000,0,0,"you can't sleep too much or too little. What else is new. I'm sure there will be a high priced drug that can solve this issue. The scientists and government of America couldn't care less about the average citizen. Look at the food supply, look at all of the drugs they want us to take. it's all about money and has nothing to do with concern for our well-being. "
R_TpgBfMSeqQUvqH7_5,R_TpgBfMSeqQUvqH7,380,1.333,1.625,0,0,"Again it's all about the money. Corporate America strikes again. They leech as much money from the working class as possible as they sit in their office, finger banging their secretary. When their lies and misdirection is revealed, some fat cat takes the blame (along with millions of dollars of hush money, and the working class is thrown to the wolves and blamed for most of the misdeeds."
R_1n8frNuDYCk5bfB_1,R_1n8frNuDYCk5bfB,44,6.000,5.500,1,1,"This story about the shooting at the airport is absolutely breaking my heart.  There is no reason for these violent gun actions to continue to go on.  Can you imagine if this had been our dad or other friend or family member?  I can not imagine what the victims family is going through right now.  The poor people in the airport must have been in a frenzy.  It had to have been scary to not know what was going on.  Especially before everyone knew the gunman was dead.  This one cowards acts caused so much turmoil and upheaval for so many people.  Can you imagine all of the money that was wasted because of his stupid choices.  Between flights being cancelled, rearranged, police officers time.  I wish we could understand what he was thinking and why he did this mess.  "
R_1n8frNuDYCk5bfB_2,R_1n8frNuDYCk5bfB,116,5.333,5.875,1,1,"Did you know that the spread of cholera is so terrible?  I had no idea this was still such a daunting issue so many people face.  I agree with a line in the article that said ""The idea that people are still dying in 2015 of cholera is outrageous.”  I feel so heartbroken that people are dying simply because they don't have clean water and appropriate medical care."
R_1n8frNuDYCk5bfB_3,R_1n8frNuDYCk5bfB,228,6.333,5.250,1,1,Can you believe what this family has done to these girls?  They have treated these children so heinously.  It is insane that the police wouldn't do anything until they were basically forced by the media.  I can appreciate things that happened later to help these girls but this so unfair.  This breaks my heart. 
R_1n8frNuDYCk5bfB_4,R_1n8frNuDYCk5bfB,313,4.667,5.750,1,1,Are you aware that only certain refuges are helped and accepted?  I can't imagine the heart break that they endure traveling so far thinking they are safe to be turned around and denied.  The whole system is so flawed.  There is no appropriate help for these people!  They have so many unfair hurdles to go through.
R_1n8frNuDYCk5bfB_5,R_1n8frNuDYCk5bfB,404,4.333,4.875,1,1,"Poor woman!  I hope that she is able to recover.  I hate to hear of anyone being in an accident.  I see that there were three cars involved.  I wonder if she was the other one critically injured.  I guess if there were were at least three people involved and only one was seriously injured, those aren't the worst odds. "
R_1g5YEkTMm158K6n_1,R_1g5YEkTMm158K6n,60,1.167,1.250,0,0,"So apparently sea ice is becoming less and less which is a concern four our environment and all I can think of is how it will affect the animals in the ocean.  This cannot be good for the ecosystem.  Or is it? In contrast to the article, i remember seeing a whale die because the ice was so thick and they were trapped. Perhaps neither are good, but how do we fix this? "
R_1g5YEkTMm158K6n_2,R_1g5YEkTMm158K6n,162,1.167,1.125,0,0,"So i just read this article on gold fish in the wild.  Wow. I learned a lot.  Apparently we have an overload of gold fish in our lakes and rivers, which is very bad for the fish and the earth.  It's bad for the earth because it messes with the sediments as they swim low on the bottom.  It is also bad for the fish because they aren't bread for the big waters.  their bodies grow as big as a football and they can weigh up to 4 pounds.  Some are not even healthy.  They say the best way to get rid of healthy fish is to bring it back to the pet store and to not flush sick or dead fish.  put them in an ice slush. this article was really sad and disturbing to read at the same time."
R_1g5YEkTMm158K6n_3,R_1g5YEkTMm158K6n,172,1.167,2.500,0,0,This article was so sad.  I guess ISIS had killed many people recently in israel.  They were very rude about it and many people were at high tension worried they had bombs or traps set up as they were recovering and looking for more bodies.   They said the people of ISIS just dumped there bodies as if they were trash.
R_1g5YEkTMm158K6n_4,R_1g5YEkTMm158K6n,276,1.167,1.125,0,0,"So today i read about Vaughn, an actor I didn't really know his name but have watched or heard most of the shows and movies he has been in.  Today, i heard, he died at age 83 due to lukemia.  IT is very sad to lose such a well respected actor.  I guess his parents divorced at a young age but both gave him the genes to act. "
R_1g5YEkTMm158K6n_5,R_1g5YEkTMm158K6n,407,3.167,1.375,0,0,"This is so sad.  Today I read about a lady who passed away November 6th and had shared many of her stories of her experiences in the holocaust.  IT's very sad to think there aren't many people left to share these stories.  I remember being in Junior high and hearing someone speak about it, and to think kids these days will never get that.  Thankfully, there are museums for people to attend to hear and get closer to what truly happened back then."
R_pE6yE7SVdOZiObL_1,R_pE6yE7SVdOZiObL,63,4.833,1.250,1,0,"The first article never appeared, there was only a generic place holders and nothing to write about. I answered questions about my emotions based on how I feel right now and I'm writing this to explain that the article wasn't there. I hope that the following articles will appear and I'll be able to finish this survey as intended."
R_pE6yE7SVdOZiObL_2,R_pE6yE7SVdOZiObL,140,4.000,2.000,1,0,"It does seem silly that people in committed relationships are still affected by the donating ban, but I can also understand why such a ban was put in place. The trouble with anything is that when you try to protect some people, others rights seem to always be infringed and we're forced to decide which offense is greater and more important. I don't see why someone can't be tested, found to be clean and then give blood but I can understand why especially in an emergency when things can easily get overlooked the ban is a good idea."
R_pE6yE7SVdOZiObL_3,R_pE6yE7SVdOZiObL,198,2.500,1.250,0,0,After reading this story I think the right decision was made. It seems to me that the man had no reason to shoot at those kids just because they were playing loud music. Sure music can be annoying but no one deserves to be shot over it. I don't think that any changes need to be made to the stand your ground laws. This was a simple case of someone making poor choices and now needs to pay the price for their actions.
R_pE6yE7SVdOZiObL_4,R_pE6yE7SVdOZiObL,259,4.000,1.125,1,0,It's such a shame that so much violence takes place over there each year. You'd think all the different factions would finally agree to disagree and move on but instead they just seem to want to keep killing. I understand why since so many different groups want to destroy the other side leaving smaller nations like Yemen to have to defend themselves since the other factions seem to be unable to leave in peace.
R_pE6yE7SVdOZiObL_5,R_pE6yE7SVdOZiObL,379,3.000,3.500,0,0,Overall the problem here seems to be that overuse of resources in a certain area needs to be stopped. Simply pumping more water isn't the issue and perhaps the fact that too many people are trying to use that water source should be something that's looked into. There should also be some sort of testing and filtering system put into place to protect the people.
